"","kw.ep","kw.eBH","glm.ep","glm.eBH"
"PWY-6185",0.689041850625182,0.962398174329114,0.676681972648914,0.966984020063548
"PWY-621",0.480764397957565,0.95117972223605,0.504294030881331,0.961119019952936
"PWY-6210",0.357234222516201,0.952020733300685,0.214449833449741,0.947441296669293
"PWY-6263",0.75137949492113,0.953698762297997,0.43845910545804,0.961119019952936
"PWY-6269",0.89154594573167,0.977577064113322,0.897036746752308,0.974446257216309
"PWY-6277",0.599988999657344,0.95117972223605,0.614215612916932,0.961119019952936
"PWY-6282",0.607451903516407,0.95117972223605,0.45729928860749,0.961119019952936
"PWY-6317",0.484328776151471,0.95117972223605,0.63988195831208,0.961119019952936
"PWY-6338",0.703790816427976,0.964741197896206,0.706398860764277,0.96801935721873
"PWY-6339",0.406195176913213,0.953592685509758,0.322814749605274,0.94474678374028
"PWY-6353",0.30634986001851,0.95117972223605,0.383170010252362,0.961119019952936
"PWY-6383",0.624731063416674,0.95117972223605,0.554433650005119,0.961119019952936
"PWY-6385",0.624773605092013,0.95117972223605,0.618937441685263,0.961119019952936
"PWY-6386",0.616139935195984,0.95117972223605,0.611162801504922,0.961119019952936
"PWY-6387",0.614076520368982,0.95117972223605,0.615178895297404,0.961119019952936
"PWY-6396",0.614494276967299,0.95117972223605,0.491551092037693,0.961119019952936
"PWY-6397",0.0319351103461229,0.95117972223605,0.0215115863350447,0.765399997725919
"PWY-6467",0.715831572625218,0.951485890817856,0.712178647610134,0.962460817222678
"PWY-6470",0.567663378905617,0.95117972223605,0.491491467704917,0.961644545512191
"PWY-6471",0.779619226121008,0.957718773257255,0.666991742181005,0.961119019952936
"PWY-6478",0.827220029164716,0.968451060360899,0.843665197715378,0.974150347029746
"PWY-6505",0.347912835438472,0.952887046985754,0.243896587046972,0.915845818583909
"PWY-6507",0.653789694794338,0.951397301212804,0.384789787470356,0.961119019952936
"PWY-6519",0.291543346009861,0.95117972223605,0.137411257524148,0.961119019952936
"PWY-6545",0.638916235613641,0.95145143033449,0.436519801901886,0.961119019952936
"PWY-6562",0.717961488049655,0.951957906856193,0.343896400575701,0.961119019952936
"PWY-6572",0.802659044504054,0.970383208570872,0.729614961464075,0.970600708034374
"PWY-6588",0.567138044027622,0.95117972223605,0.468758217625939,0.961119019952936
"PWY-6590",0.56065860891293,0.95117972223605,0.155568081314004,0.961119019952936
"PWY-6608",0.210986266696148,0.95117972223605,0.0727205117919043,0.961119019952936
"PWY-6609",0.529564704018925,0.95117972223605,0.673792150788654,0.961119019952936
"PWY-6612",0.602138581039317,0.95117972223605,0.592423533883033,0.961119019952936
"PWY-6628",0.643086058189476,0.95120016095509,0.518344551408079,0.961119019952936
"PWY-6630",0.645494072356203,0.95117972223605,0.513488962071453,0.961119019952936
"PWY-6690",0.448536259579306,0.95637891315429,0.374657524063502,0.954354232627598
"PWY-6700",0.523488125568541,0.95117972223605,0.673641410190897,0.961119019952936
"PWY-6703",0.575714720402753,0.95117972223605,0.800080381989762,0.968969772004246
"PWY-6708",0.621456183621741,0.95117972223605,0.329622562754026,0.961119019952936
"PWY-6728",0.554726732598453,0.955620959129466,0.506485948653721,0.958366188327683
"PWY-6731",0.477352489536784,0.9573638018783,0.437656807866834,0.958923111470002
"PWY-6737",0.432919132180911,0.95117972223605,0.732468794821724,0.961816961164778
"PWY-6749",0.897548070686958,0.978240304004727,0.810855795138317,0.972344437967392
"PWY-6876",0.821020754812118,0.967064698967583,0.746758936510357,0.967585577317838
"PWY-6891",0.682324376737744,0.951318657345681,0.827674092291174,0.971462473577405
"PWY-6892",0.762814625112184,0.954509871269484,0.747776620694414,0.965748146668748
"PWY-6895",0.644678662119256,0.95117972223605,0.780058834754739,0.968099191983892
"PWY-6897",0.365067116412685,0.95117972223605,0.388787841412044,0.961119019952936
"PWY-6901",0.623086317178911,0.951327164511051,0.787637885229247,0.969538620733095
"PWY-6906",0.451999729335911,0.955071142043493,0.376787973612676,0.957341665569565
"PWY-6944",0.409067709529025,0.953040737704074,0.329593103680076,0.935514654102731
"PWY-6969",0.879699801092732,0.975433272923487,0.83955788452985,0.970429623727866
"PWY-6992",0.577469765859863,0.957572859352534,0.53762213333238,0.965007624508696
"PWY-7003",0.813663777288256,0.964163074271978,0.254005783183828,0.961119019952936
"PWY-7007",0.466138731876484,0.95117972223605,0.57665904223924,0.963688629750045
"PWY-7013",0.907674403822158,0.97924112478562,0.515666748231956,0.961119019952936
"PWY-7031",0.672340301928289,0.951622496116836,0.291794099744834,0.961119019952936
"PWY-7046",0.434719195760263,0.955872322241945,0.390995784373071,0.947874452124369
"PWY-7090",0.380714872402355,0.95117972223605,0.387650231644485,0.96130631338068
"PWY-7094",0.206801146307567,0.95117972223605,0.219679374740083,0.961119019952936
"PWY-7097",0.697801819479611,0.963033992162727,0.702912805448587,0.968076359857789
"PWY-7098",0.711059525115144,0.965579300350394,0.713480565149646,0.970815104291177
"PWY-7111",0.599031204102031,0.95117972223605,0.689966164605198,0.961119019952936
"PWY-7159",0.739244888810788,0.963893996660683,0.759575637054361,0.970438625588807
"PWY-7184",0.577436402307694,0.95117972223605,0.694960979353752,0.961119019952936
"PWY-7187",0.612121270645987,0.95117972223605,0.655857885845524,0.961119019952936
"PWY-7196",0.554638061819428,0.95117972223605,0.734300599634158,0.96154043680401
"PWY-7197",0.591737891182109,0.95117972223605,0.725294776983984,0.961240062875552
"PWY-7198",0.620576637930131,0.960163795207775,0.606109367388702,0.967400562354197
"PWY-7199",0.612565545514859,0.95117972223605,0.830224671752612,0.970776342513105
"PWY-7200",0.648784309676859,0.95117972223605,0.782124017111853,0.966614535835511
"PWY-7208",0.662039588864525,0.95117972223605,0.658038680674691,0.961119019952936
"PWY-7210",0.625577207675668,0.959792629523182,0.625901623520777,0.967647756646162
"PWY-7211",0.58678909570713,0.95117972223605,0.67223171526443,0.961119019952936
"PWY-7219",0.608271027813937,0.95117972223605,0.621443515109408,0.961119019952936
"PWY-722",0.479856756035633,0.955863833385383,0.408037265085402,0.948109028736213
"PWY-7220",0.455724644137958,0.95117972223605,0.583647076720292,0.961119019952936
"PWY-7221",0.626189899619516,0.95117972223605,0.650264715948884,0.961119019952936
"PWY-7222",0.452739811227859,0.95117972223605,0.583198213813247,0.961119019952936
"PWY-7228",0.635386141415571,0.95117972223605,0.729457590908431,0.961487937274725
"PWY-7229",0.579439886953513,0.95117972223605,0.611107594741242,0.961119019952936
"PWY-7234",0.590786858680965,0.95117972223605,0.712655168017304,0.961119019952936
"PWY-7237",0.19192973453779,0.95117972223605,0.157347761698519,0.961119019952936
"PWY-7242",0.727562496315959,0.954934419363206,0.320340540368821,0.961119019952936
"PWY-7254",0.797959341462395,0.960047987348817,0.675442320458742,0.961309007884009
"PWY-7255",0.542700095608796,0.956175168933768,0.552585752762973,0.965356687999695
"PWY-7295",0.909956458626335,0.980229157886887,0.894919703843432,0.981770085619202
"PWY-7315",0.397429006165819,0.954856698721959,0.253465167304211,0.901731621886866
"PWY-7316",0.519203232548147,0.958989891694747,0.498155506911379,0.950758954390019
"PWY-7323",0.905723342813337,0.979066440198006,0.866820217161168,0.973430539623589
"PWY-7328",0.717907836948073,0.952322606401958,0.583371721444744,0.961119019952936
"PWY-7332",0.900006442462821,0.978243434958265,0.983471283088978,0.994722458802576
"PWY-7347",0.536029690168278,0.958406201257121,0.504943179811473,0.962832184045101
